Dex,Pokemon,Chance,Chance percentage
827,Nickit,1/701,0.1426
825,Dottler,1/701,0.1426
822,Corvisquire,1/701,0.1426
819,Skwovet,1/701,0.1426
817,Drizzile,1/701,0.1426
814,Raboot,1/701,0.1426
811,Thwackey,1/701,0.1426
878,Cufant,1/701,0.1426
692,Clauncher,1/701,0.1426
688,Binacle,1/701,0.1426
541,Swadloon,1/701,0.1426
603,Eelektrik,1/701,0.1426
597,Ferroseed,1/701,0.1426
595,Joltik,1/701,0.1426
592,Frillish,1/701,0.1426
590,Foongus,1/701,0.1426
588,Karrablast,1/701,0.1426
276,Taillow,1/701,0.1426
583,Vanillish,1/701,0.1426
580,Ducklett,1/701,0.1426
578,Duosion,1/701,0.1426
575,Gothorita,1/701,0.1426
572,Minccino,1/701,0.1426
570,Zorua,1/701,0.1426
568,Trubbish,1/701,0.1426
566,Archen,1/701,0.1426
564,Tirtouga,1/701,0.1426
562,Yamask,1/701,0.1426
559,Scraggy,1/701,0.1426
557,Dwebble,1/701,0.1426
554,Darumaka,1/701,0.1426
552,Krokorok,1/701,0.1426
548,Petilil,1/701,0.1426
546,Cottonee,1/701,0.1426
544,Whirlipede,1/701,0.1426
600,Klang,1/701,0.1426
605,Elgyem,1/701,0.1426
686,Inkay,1/701,0.1426
608,Lampent,1/701,0.1426
684,Swirlix,1/701,0.1426
682,Spritzee,1/701,0.1426
680,Doublade,1/701,0.1426
677,Espurr,1/701,0.1426
674,Pancham,1/701,0.1426
672,Skiddo,1/701,0.1426
670,Floette,1/701,0.1426
667,Litleo,1/701,0.1426
665,Spewpa,1/701,0.1426
662,Fletchinder,1/701,0.1426
659,Bunnelby,1/701,0.1426
657,Frogadier,1/701,0.1426
654,Braixen,1/701,0.1426
651,Quilladin,1/701,0.1426
636,Larvesta,1/701,0.1426
629,Vullaby,1/701,0.1426
627,Rufflet,1/701,0.1426
624,Pawniard,1/701,0.1426
622,Golett,1/701,0.1426
619,Mienfoo,1/701,0.1426
616,Shelmet,1/701,0.1426
613,Cubchoo,1/701,0.1426
611,Fraxure,1/701,0.1426
278,Wingull,1/701,0.1426
434,Stunky,1/701,0.1426
868,Milcery,1/701,0.1426
61,Poliwhirl,1/701,0.1426
204,Pineco,1/701,0.1426
67,Machoke,1/701,0.1426
70,Weepinbell,1/701,0.1426
72,Tentacool,1/701,0.1426
75,Graveler,1/701,0.1426
77,Ponyta,1/701,0.1426
200,Misdreavus,1/701,0.1426
198,Murkrow,1/701,0.1426
79,Slowpoke,1/701,0.1426
82,Magneton,1/701,0.1426
84,Doduo,1/701,0.1426
86,Seel,1/701,0.1426
88,Grimer,1/701,0.1426
90,Shellder,1/701,0.1426
93,Haunter,1/701,0.1426
64,Kadabra,1/701,0.1426
207,Gligar,1/701,0.1426
234,Stantler,1/701,0.1426
209,Snubbull,1/701,0.1426
44,Gloom,1/701,0.1426
231,Phanpy,1/701,0.1426
46,Paras,1/701,0.1426
228,Houndour,1/701,0.1426
48,Venonat,1/701,0.1426
223,Remoraid,1/701,0.1426
50,Diglett,1/701,0.1426
221,Piloswine,1/701,0.1426
218,Slugma,1/701,0.1426
217,Ursaring,1/701,0.1426
52,Meowth,1/701,0.1426
215,Sneasel,1/701,0.1426
54,Psyduck,1/701,0.1426
56,Mankey,1/701,0.1426
58,Growlithe,1/701,0.1426
95,Onix,1/701,0.1426
96,Drowzee,1/701,0.1426
98,Krabby,1/701,0.1426
194,Wooper,1/701,0.1426
118,Goldeen,1/701,0.1426
167,Spinarak,1/701,0.1426
165,Ledyba,1/701,0.1426
120,Staryu,1/701,0.1426
163,Hoothoot,1/701,0.1426
161,Sentret,1/701,0.1426
159,Croconaw,1/701,0.1426
123,Scyther,1/701,0.1426
125,Electabuzz,1/701,0.1426
156,Quilava,1/701,0.1426
126,Magmar,1/701,0.1426
153,Bayleef,1/701,0.1426
129,Magikarp,1/701,0.1426
133,Eevee,1/701,0.1426
140,Kabuto,1/701,0.1426
170,Chinchou,1/701,0.1426
117,Seadra,1/701,0.1426
114,Tangela,1/701,0.1426
104,Cubone,1/701,0.1426
193,Yanma,1/701,0.1426
100,Voltorb,1/701,0.1426
191,Sunkern,1/701,0.1426
190,Aipom,1/701,0.1426
102,Exeggcute,1/701,0.1426
188,Skiploom,1/701,0.1426
183,Marill,1/701,0.1426
113,Chansey,1/701,0.1426
108,Lickitung,1/701,0.1426
109,Koffing,1/701,0.1426
180,Flaaffy,1/701,0.1426
112,Rhydon,1/701,0.1426
177,Natu,1/701,0.1426
176,Togetic,1/701,0.1426
233,Porygon2,1/701,0.1426
138,Omanyte,1/701,0.1426
261,Poochyena,1/701,0.1426
21,Spearow,1/701,0.1426
266,Silcoon,1/701,0.1426
39,Jigglypuff,1/701,0.1426
256,Combusken,1/701,0.1426
268,Cascoon,1/701,0.1426
35,Clefairy,1/701,0.1426
25,Pikachu,1/701,0.1426
271,Lombre,1/701,0.1426
259,Marshtomp,1/701,0.1426
27,Sandshrew,1/701,0.1426
17,Pidgeotto,1/701,0.1426
263,Zigzagoon,1/701,0.1426
11,Metapod,1/701,0.1426
37,Vulpix,1/701,0.1426
274,Nuzleaf,1/701,0.1426
42,Golbat,1/701,0.1426
23,Ekans,1/701,0.1426
253,Grovyle,1/701,0.1426
33,Nidorino,1/701,0.1426
14,Kakuna,1/701,0.1426
30,Nidorina,1/701,0.1426
236,Tyrogue,1/701,0.1426
783,Hakamo-o,1/1052,0.0951
2,Ivysaur,1/1052,0.0951
444,Gabite,1/1052,0.0951
634,Zweilous,1/1052,0.0951
247,Pupitar,1/1052,0.0951
8,Wartortle,1/1052,0.0951
5,Charmeleon,1/1052,0.0951
375,Metang,1/1052,0.0951
20,Raticate,1/1052,0.0951
705,Sliggoo,1/1052,0.0951
372,Shelgon,1/1052,0.0951
148,Dragonair,1/1052,0.0951
110,Weezing,1/2805,0.0357
658,Greninja,1/2805,0.0357
105,Marowak,1/2805,0.0357
849,Toxtricity,1/2805,0.0357
107,Hitmonchan,1/2805,0.0357
655,Delphox,1/2805,0.0357
847,Barraskewda,1/2805,0.0357
652,Chesnaught,1/2805,0.0357
15,Beedrill,1/2805,0.0357
660,Diggersby,1/2805,0.0357
106,Hitmonlee,1/2805,0.0357
879,Copperajah,1/2805,0.0357
103,Exeggutor,1/2805,0.0357
845,Cramorant,1/2805,0.0357
683,Aromatisse,1/2805,0.0357
91,Cloyster,1/2805,0.0357
681,Aegislash,1/2805,0.0357
22,Fearow,1/2805,0.0357
94,Gengar,1/2805,0.0357
678,Meowstic,1/2805,0.0357
676,Furfrou,1/2805,0.0357
675,Pangoro,1/2805,0.0357
673,Gogoat,1/2805,0.0357
97,Hypno,1/2805,0.0357
671,Florges,1/2805,0.0357
839,Coalossal,1/2805,0.0357
99,Kingler,1/2805,0.0357
668,Pyroar,1/2805,0.0357
841,Flapple,1/2805,0.0357
842,Appletun,1/2805,0.0357
666,Vivillon,1/2805,0.0357
18,Pidgeot,1/2805,0.0357
637,Volcarona,1/2805,0.0357
844,Sandaconda,1/2805,0.0357
663,Talonflame,1/2805,0.0357
101,Electrode,1/2805,0.0357
628,Braviary,1/2805,0.0357
851,Centiskorch,1/2805,0.0357
12,Butterfree,1/2805,0.0357
3,Venusaur,1/2805,0.0357
606,Beheeyem,1/2805,0.0357
127,Pinsir,1/2805,0.0357
604,Eelektross,1/2805,0.0357
871,Pincurchin,1/2805,0.0357
128,Tauros,1/2805,0.0357
870,Falinks,1/2805,0.0357
601,Klinklang,1/2805,0.0357
130,Gyarados,1/2805,0.0357
131,Lapras,1/2805,0.0357
598,Ferrothorn,1/2805,0.0357
132,Ditto,1/2805,0.0357
596,Galvantula,1/2805,0.0357
594,Alomomola,1/2805,0.0357
593,Jellicent,1/2805,0.0357
134,Vaporeon,1/2805,0.0357
591,Amoonguss,1/2805,0.0357
135,Jolteon,1/2805,0.0357
589,Escavalier,1/2805,0.0357
136,Flareon,1/2805,0.0357
587,Emolga,1/2805,0.0357
586,Sawsbuck,1/2805,0.0357
869,Alcremie,1/2805,0.0357
861,Grimmsnarl,1/2805,0.0357
609,Chandelure,1/2805,0.0357
124,Jynx,1/2805,0.0357
623,Golurk,1/2805,0.0357
853,Grapploct,1/2805,0.0357
632,Durant,1/2805,0.0357
631,Heatmor,1/2805,0.0357
630,Mandibuzz,1/2805,0.0357
115,Kangaskhan,1/2805,0.0357
685,Slurpuff,1/2805,0.0357
626,Bouffalant,1/2805,0.0357
625,Bisharp,1/2805,0.0357
855,Polteageist,1/2805,0.0357
9,Blastoise,1/2805,0.0357
119,Seaking,1/2805,0.0357
612,Haxorus,1/2805,0.0357
621,Druddigon,1/2805,0.0357
620,Mienshao,1/2805,0.0357
618,Stunfisk,1/2805,0.0357
858,Hatterene,1/2805,0.0357
617,Accelgor,1/2805,0.0357
121,Starmie,1/2805,0.0357
615,Cryogonal,1/2805,0.0357
6,Charizard,1/2805,0.0357
614,Beartic,1/2805,0.0357
122,Mr. Mime,1/2805,0.0357
836,Boltund,1/2805,0.0357
693,Clawitzer,1/2805,0.0357
89,Muk,1/2805,0.0357
47,Parasect,1/2805,0.0357
873,Frosmoth,1/2805,0.0357
766,Passimian,1/2805,0.0357
765,Oranguru,1/2805,0.0357
764,Comfey,1/2805,0.0357
763,Tsareena,1/2805,0.0357
40,Wigglytuff,1/2805,0.0357
49,Venomoth,1/2805,0.0357
812,Rillaboom,1/2805,0.0357
760,Bewear,1/2805,0.0357
51,Dugtrio,1/2805,0.0357
38,Ninetales,1/2805,0.0357
758,Salazzle,1/2805,0.0357
815,Cinderace,1/2805,0.0357
36,Clefable,1/2805,0.0357
756,Shiinotic,1/2805,0.0357
53,Persian,1/2805,0.0357
754,Lurantis,1/2805,0.0357
752,Araquanid,1/2805,0.0357
55,Golduck,1/2805,0.0357
750,Mudsdale,1/2805,0.0357
818,Inteleon,1/2805,0.0357
748,Toxapex,1/2805,0.0357
57,Primeape,1/2805,0.0357
768,Golisopod,1/2805,0.0357
770,Palossand,1/2805,0.0357
745,Lycanroc,1/2805,0.0357
771,Pyukumuku,1/2805,0.0357
881,Arctozolt,1/2805,0.0357
877,Morpeko,1/2805,0.0357
882,Dracovish,1/2805,0.0357
883,Arctovish,1/2805,0.0357
884,Duraludon,1/2805,0.0357
45,Vileplume,1/2805,0.0357
887,Dragapult,1/2805,0.0357
876,Indeedee,1/2805,0.0357
899,Wyrdeer,1/2805,0.0357
900,Kleavor,1/2805,0.0357
901,Ursaluna,1/2805,0.0357
875,Eiscue,1/2805,0.0357
781,Dhelmise,1/2805,0.0357
780,Drampa,1/2805,0.0357
874,Stonjourner,1/2805,0.0357
779,Bruxish,1/2805,0.0357
778,Mimikyu,1/2805,0.0357
777,Togedemaru,1/2805,0.0357
776,Turtonator,1/2805,0.0357
775,Komala,1/2805,0.0357
774,Minior,1/2805,0.0357
10004,Sandy Wormadam,1/2805,0.0357
10005,Trash Wormadam,1/2805,0.0357
746,Wishiwashi,1/2805,0.0357
34,Nidoking,1/2805,0.0357
687,Malamar,1/2805,0.0357
715,Noivern,1/2805,0.0357
713,Avalugg,1/2805,0.0357
78,Rapidash,1/2805,0.0357
711,Gourgeist,1/2805,0.0357
830,Eldegoss,1/2805,0.0357
709,Trevenant,1/2805,0.0357
80,Slowbro,1/2805,0.0357
707,Klefki,1/2805,0.0357
832,Dubwool,1/2805,0.0357
703,Carbink,1/2805,0.0357
702,Dedenne,1/2805,0.0357
701,Hawlucha,1/2805,0.0357
700,Sylveon,1/2805,0.0357
699,Aurorus,1/2805,0.0357
83,Farfetch'd,1/2805,0.0357
697,Tyrantrum,1/2805,0.0357
24,Arbok,1/2805,0.0357
695,Heliolisk,1/2805,0.0357
85,Dodrio,1/2805,0.0357
880,Dracozolt,1/2805,0.0357
834,Drednaw,1/2805,0.0357
691,Dragalge,1/2805,0.0357
87,Dewgong,1/2805,0.0357
689,Barbaracle,1/2805,0.0357
26,Raichu,1/2805,0.0357
10016,Blue-Striped Basculin,1/2805,0.0357
820,Greedent,1/2805,0.0357
10015,Snowy Castform,1/2805,0.0357
743,Ribombee,1/2805,0.0357
59,Arcanine,1/2805,0.0357
741,Oricorio,1/2805,0.0357
740,Crabominable,1/2805,0.0357
31,Nidoqueen,1/2805,0.0357
738,Vikavolt,1/2805,0.0357
62,Poliwrath,1/2805,0.0357
823,Corviknight,1/2805,0.0357
735,Gumshoos,1/2805,0.0357
65,Alakazam,1/2805,0.0357
733,Toucannon,1/2805,0.0357
28,Sandslash,1/2805,0.0357
584,Vanilluxe,1/2805,0.0357
730,Primarina,1/2805,0.0357
826,Orbeetle,1/2805,0.0357
71,Victreebel,1/2805,0.0357
727,Incineroar,1/2805,0.0357
73,Tentacruel,1/2805,0.0357
724,Decidueye,1/2805,0.0357
828,Thievul,1/2805,0.0357
76,Golem,1/2805,0.0357
10013,Sunny Castform,1/2805,0.0357
10014,Rainy Castform,1/2805,0.0357
68,Machamp,1/2805,0.0357
277,Swellow,1/2805,0.0357
139,Omastar,1/2805,0.0357
222,Corsola,1/2805,0.0357
211,Qwilfish,1/2805,0.0357
409,Rampardos,1/2805,0.0357
212,Scizor,1/2805,0.0357
407,Roserade,1/2805,0.0357
406,Budew,1/2805,0.0357
405,Luxray,1/2805,0.0357
213,Shuckle,1/2805,0.0357
214,Heracross,1/2805,0.0357
402,Kricketune,1/2805,0.0357
400,Bibarel,1/2805,0.0357
398,Staraptor,1/2805,0.0357
219,Magcargo,1/2805,0.0357
395,Empoleon,1/2805,0.0357
392,Infernape,1/2805,0.0357
360,Wynaut,1/2805,0.0357
224,Octillery,1/2805,0.0357
389,Torterra,1/2805,0.0357
225,Delibird,1/2805,0.0357
226,Mantine,1/2805,0.0357
227,Skarmory,1/2805,0.0357
370,Luvdisc,1/2805,0.0357
369,Relicanth,1/2805,0.0357
368,Gorebyss,1/2805,0.0357
367,Huntail,1/2805,0.0357
229,Houndoom,1/2805,0.0357
365,Walrein,1/2805,0.0357
230,Kingdra,1/2805,0.0357
362,Glalie,1/2805,0.0357
411,Bastiodon,1/2805,0.0357
210,Granbull,1/2805,0.0357
413,Wormadam,1/2805,0.0357
414,Mothim,1/2805,0.0357
448,Lucario,1/2805,0.0357
446,Munchlax,1/2805,0.0357
201,Unown,1/2805,0.0357
442,Spiritomb,1/2805,0.0357
441,Chatot,1/2805,0.0357
440,Happiny,1/2805,0.0357
439,Mime Jr.,1/2805,0.0357
438,Bonsly,1/2805,0.0357
437,Bronzong,1/2805,0.0357
202,Wobbuffet,1/2805,0.0357
581,Swanna,1/2805,0.0357
433,Chingling,1/2805,0.0357
432,Purugly,1/2805,0.0357
203,Girafarig,1/2805,0.0357
430,Honchkrow,1/2805,0.0357
429,Mismagius,1/2805,0.0357
428,Lopunny,1/2805,0.0357
426,Drifblim,1/2805,0.0357
205,Forretress,1/2805,0.0357
424,Ambipom,1/2805,0.0357
423,Gastrodon,1/2805,0.0357
206,Dunsparce,1/2805,0.0357
421,Cherrim,1/2805,0.0357
419,Floatzel,1/2805,0.0357
208,Steelix,1/2805,0.0357
417,Pachirisu,1/2805,0.0357
416,Vespiquen,1/2805,0.0357
232,Donphan,1/2805,0.0357
359,Absol,1/2805,0.0357
450,Hippowdon,1/2805,0.0357
298,Azurill,1/2805,0.0357
314,Illumise,1/2805,0.0357
313,Volbeat,1/2805,0.0357
312,Minun,1/2805,0.0357
311,Plusle,1/2805,0.0357
310,Manectric,1/2805,0.0357
254,Sceptile,1/2805,0.0357
308,Medicham,1/2805,0.0357
306,Aggron,1/2805,0.0357
257,Blaziken,1/2805,0.0357
303,Mawile,1/2805,0.0357
302,Sableye,1/2805,0.0357
301,Delcatty,1/2805,0.0357
260,Swampert,1/2805,0.0357
297,Hariyama,1/2805,0.0357
358,Chimecho,1/2805,0.0357
262,Mightyena,1/2805,0.0357
295,Exploud,1/2805,0.0357
264,Linoone,1/2805,0.0357
292,Shedinja,1/2805,0.0357
291,Ninjask,1/2805,0.0357
289,Slaking,1/2805,0.0357
267,Beautifly,1/2805,0.0357
286,Breloom,1/2805,0.0357
269,Dustox,1/2805,0.0357
284,Masquerain,1/2805,0.0357
282,Gardevoir,1/2805,0.0357
272,Ludicolo,1/2805,0.0357
279,Pelipper,1/2805,0.0357
317,Swalot,1/2805,0.0357
319,Sharpedo,1/2805,0.0357
321,Wailord,1/2805,0.0357
323,Camerupt,1/2805,0.0357
357,Tropius,1/2805,0.0357
354,Banette,1/2805,0.0357
235,Smeargle,1/2805,0.0357
352,Kecleon,1/2805,0.0357
351,Castform,1/2805,0.0357
350,Milotic,1/2805,0.0357
348,Armaldo,1/2805,0.0357
237,Hitmontop,1/2805,0.0357
346,Cradily,1/2805,0.0357
238,Smoochum,1/2805,0.0357
344,Claydol,1/2805,0.0357
239,Elekid,1/2805,0.0357
342,Crawdaunt,1/2805,0.0357
240,Magby,1/2805,0.0357
340,Whiscash,1/2805,0.0357
241,Miltank,1/2805,0.0357
338,Solrock,1/2805,0.0357
337,Lunatone,1/2805,0.0357
336,Seviper,1/2805,0.0357
335,Zangoose,1/2805,0.0357
334,Altaria,1/2805,0.0357
242,Blissey,1/2805,0.0357
332,Cacturne,1/2805,0.0357
330,Flygon,1/2805,0.0357
327,Spinda,1/2805,0.0357
326,Grumpig,1/2805,0.0357
324,Torkoal,1/2805,0.0357
199,Slowking,1/2805,0.0357
435,Skuntank,1/2805,0.0357
452,Drapion,1/2805,0.0357
162,Furret,1/2805,0.0357
549,Lilligant,1/2805,0.0357
550,Basculin,1/2805,0.0357
514,Simisear,1/2805,0.0357
182,Bellossom,1/2805,0.0357
512,Simisage,1/2805,0.0357
510,Liepard,1/2805,0.0357
184,Azumarill,1/2805,0.0357
160,Feraligatr,1/2805,0.0357
553,Krookodile,1/2805,0.0357
157,Typhlosion,1/2805,0.0357
555,Darmanitan,1/2805,0.0357
556,Maractus,1/2805,0.0357
558,Crustle,1/2805,0.0357
154,Meganium,1/2805,0.0357
560,Scrafty,1/2805,0.0357
561,Sigilyph,1/2805,0.0357
563,Cofagrigus,1/2805,0.0357
508,Stoutland,1/2805,0.0357
185,Sudowoodo,1/2805,0.0357
186,Politoed,1/2805,0.0357
171,Lanturn,1/2805,0.0357
547,Whimsicott,1/2805,0.0357
197,Umbreon,1/2805,0.0357
189,Jumpluff,1/2805,0.0357
545,Scolipede,1/2805,0.0357
172,Pichu,1/2805,0.0357
526,Gigalith,1/2805,0.0357
173,Cleffa,1/2805,0.0357
174,Igglybuff,1/2805,0.0357
523,Zebstrika,1/2805,0.0357
521,Unfezant,1/2805,0.0357
530,Excadrill,1/2805,0.0357
531,Audino,1/2805,0.0357
169,Crobat,1/2805,0.0357
534,Conkeldurr,1/2805,0.0357
168,Ariados,1/2805,0.0357
537,Seismitoad,1/2805,0.0357
538,Throh,1/2805,0.0357
539,Sawk,1/2805,0.0357
166,Ledian,1/2805,0.0357
542,Leavanny,1/2805,0.0357
164,Noctowl,1/2805,0.0357
178,Xatu,1/2805,0.0357
518,Musharna,1/2805,0.0357
516,Simipour,1/2805,0.0357
181,Ampharos,1/2805,0.0357
503,Samurott,1/2805,0.0357
505,Watchog,1/2805,0.0357
500,Emboar,1/2805,0.0357
463,Lickilicky,1/2805,0.0357
192,Sunflora,1/2805,0.0357
471,Glaceon,1/2805,0.0357
470,Leafeon,1/2805,0.0357
469,Yanmega,1/2805,0.0357
468,Togekiss,1/2805,0.0357
467,Magmortar,1/2805,0.0357
466,Electivire,1/2805,0.0357
465,Tangrowth,1/2805,0.0357
464,Rhyperior,1/2805,0.0357
142,Aerodactyl,1/2805,0.0357
462,Magnezone,1/2805,0.0357
474,Porygon-Z,1/2805,0.0357
461,Weavile,1/2805,0.0357
460,Abomasnow,1/2805,0.0357
195,Quagsire,1/2805,0.0357
458,Mantyke,1/2805,0.0357
457,Lumineon,1/2805,0.0357
196,Espeon,1/2805,0.0357
579,Reuniclus,1/2805,0.0357
141,Kabutops,1/2805,0.0357
455,Carnivine,1/2805,0.0357
454,Toxicroak,1/2805,0.0357
473,Mamoswine,1/2805,0.0357
472,Gliscor,1/2805,0.0357
475,Gallade,1/2805,0.0357
573,Cinccino,1/2805,0.0357
497,Serperior,1/2805,0.0357
565,Carracosta,1/2805,0.0357
567,Archeops,1/2805,0.0357
10123,Pom-pom Oricorio,1/2805,0.0357
10124,Pa'u Oricorio,1/2805,0.0357
10125,Sensu Oricorio,1/2805,0.0357
569,Garbodor,1/2805,0.0357
571,Zoroark,1/2805,0.0357
275,Shiftry,1/2805,0.0357
479,Rotom,1/2805,0.0357
576,Gothitelle,1/2805,0.0357
476,Probopass,1/2805,0.0357
477,Dusknoir,1/2805,0.0357
478,Froslass,1/2805,0.0357
528,Swoobat,1/2805,0.0357
